Hero,Position1,Position2,iMage,Health points,Physical attack,Spell Defense,Speed,Physical reduction rate,Power reduction rate,Critical strike effect,Area of effect,Health regeneration,Physical defense,Critical strike rate, Mana Regeneration,Maximum mana,Spell attack
Yáo,Support,,https://img.18183.com/uploads/allimg/200309/266-2003091K307.jpg,3010,162,50,360,12.60%,7.60%,200,long-distance,43,87,0%,16,440,0
Genghis Khan,Archer,,https://img.18183.com/uploads/allimg/200311/266-2003111QG1.jpg,3027,184,50,370,13.50%,7.60%,200,long-distance,37,94,0%,15,440,0
Mozi,Mage,Warrior,https://img.18183.com/uploads/allimg/190927/266-1Z92GQJ5.jpg,3083,181,50,380,14.50%,7.60%,200,short-distance,51,102,0%,15,420,0
Bull Demon,Support,Tank,https://img.18183.com/uploads/allimg/190929/266-1Z9291R551.jpg,3537,156,50,380,15.30%,7.60%,200,short-distance,58,109,0%,17,470,0
Chang'e,Tank,Mage,https://img.18183.com/uploads/allimg/200305/266-2003051Q110.jpg,1600,152,50,395,12.60%,7.60%,0,long-distance,46,79,0%,15,440,0
Lv Bu,Tank,Warrior,https://img.18183.com/uploads/allimg/190929/266-1Z9291K618.jpg,3564,170,50,370,14.10%,7.60%,200,short-distance,54,99,0%,0,0,0
Zhuang Zhou,Support,Tank,https://img.18183.com/uploads/allimg/190927/266-1Z92GI110.jpg,3311,170,50,390,20%,7.60%,200,short-distance,55,150,0%,15,420,0
Zhang Liang,Mage,,https://img.18183.com/uploads/allimg/190929/266-1Z9291T013-50.jpg,3027,170,50,350,12.60%,7.60%,200,long-distance,43,87,0%,18,490,0
Sima Yi,Assassin,Mage,https://img.18183.com/uploads/allimg/200312/266-2003121I624.jpg,3166,165,50,360,13.10%,7.60%,200,long-distance,45,91,0%,18,490,0
Su Lie,Tank,,https://img.18183.com/uploads/allimg/200309/266-2003091P534.jpg,3369,171,50,380,13.40%,7.60%,200,short-distance,56,93,0%,0,0,0
Yixing,Mage,,https://img.18183.com/uploads/allimg/200117/266-20011GSA5.jpg,2958,159,50,360,13.40%,7.60%,200,long-distance,42,93,0%,17,470,159
Zhu Bajie,Tank,Warrior,https://img.18183.com/uploads/allimg/200312/266-2003121J110.jpg,3067,154,50,380,14.10%,7.60%,200,short-distance,76,99,0%,0,0,0
Pei Qinhu,Assassin,,https://img.18183.com/uploads/allimg/200309/266-2003091J153.jpg,3483,159,50,380,14.10%,7.60%,200,short-distance,53,99,0%,16,450,0
Taiyi Zhenren,Support,Tank,https://img.18183.com/uploads/allimg/200311/266-2003111R437-50.jpg,3443,154,50,360,13.50%,0%,0,short-distance,49,94,0%,15,420,0
Sun Bin,Support,,https://img.18183.com/uploads/allimg/190926/266-1Z9261U419-50.jpg,3208,176,50,350,14.10%,7.60%,200,long-distance,45,98,0%,17,470,0
Meng Ya,Archer,,https://img.18183.com/uploads/allimg/200109/266-20010Z95002.jpg,3235,160,50,360,13%,7.60%,200,long-distance,40,90,0%,0,0,0
Nvwa,Mage,,https://img.18183.com/uploads/allimg/200309/266-2003091K949.jpg,2958,159,50,360,13.40%,7.60%,200,long-distance,42,93,0%,17,470,0
Xiaoqiao,Mage,,https://img.18183.com/uploads/allimg/190924/266-1Z9241S153-50.jpg,3088,153,50,350,13.60%,7.60%,200,long-distance,44,95,0%,18,490,0
Bai Qi,Tank,,https://img.18183.com/uploads/allimg/190927/266-1Z92GT627.jpg,3510,158,50,390,16.60%,7.60%,200,short-distance,58,120,0%,14,420,0
Agudo,Tank,,https://img.18183.com/uploads/allimg/200805/266-200P5115930-50.jpg,946,166,50,380,15.10%,7.60%,200,short-distance,50,107,0%,0,0,0
Yu Ji,Archer,,https://img.18183.com/uploads/allimg/200309/266-2003091F637.jpg,2977,165,50,350,12.20%,7.60%,200,long-distance,36,84,0%,16,440,0
Huang Zhong,Archer,,https://img.18183.com/uploads/allimg/200311/266-2003111S241.jpg,3173,172,50,350,13.10%,7.60%,200,long-distance,39,91,0%,16,440,0
Li Yuanfang,Archer,,https://img.18183.com/uploads/allimg/200122/266-200122155314.jpg,3007,161,50,350,12.60%,7.60%,200,long-distance,37,87,0%,15,440,0
Jing,Assassin,,https://img.18183.com/uploads/allimg/200331/266-2003311H000.jpg,3264,173,50,380,12.60%,7.60%,200,short-distance,52,87,0%,16,460,0
Cheng Yaojin,Tank,Warrior,https://img.18183.com/uploads/allimg/190926/266-1Z9261S623.jpg,3437,161,50,380,17.20%,7.60%,200,long-distance,57,125,0%,0,0,0
Zhang Fei,Support,Tank,https://img.18183.com/uploads/allimg/200311/266-2003111J543.jpg,3450,153,50,380,17.20%,7.60%,200,short-distance,57,125,0%,5,100,0
Cai Wenji,Support,,https://img.18183.com/uploads/allimg/200117/266-20011GR424.jpg,3238,159,50,360,13.70%,7.60%,200,long-distance,38,96,0%,17,470,0
Ma Chao,Warrior,Assassin,https://img.18183.com/uploads/allimg/200116/266-2001161GS2.jpg,3307,168,50,370,13.70%,7.60%,200,short-distance,50,96,0%,0,0,0
Zhuge Liang,Mage,,https://img.18183.com/uploads/allimg/200311/266-2003111RU5.jpg,3135,156,50,350,12.60%,7.60%,0,long-distance,44,87,0%,18,490,0
Zhao Yun,Warrior,Assassin,https://img.18183.com/uploads/allimg/190927/266-1Z92GP438-50.jpg,3267,173,50,380,12.20%,7.60%,200,short-distance,50,84,0%,15,430,0
