win,hero1,kda1,money1,output1,intake1,hero2,kda2,money2,output2,intake2,hero3,kda3,money3,output3,intake3,hero4,kda4,money4,output4,intake4,hero5,kda5,money5,output5,intake5,all_money_a,all_kill_a,all_tower_a
1,Guan Yu,2/0/2,11684,26434,51173,Di Renjie,2/1/1,12448,51154,39196,Shen Mengxi,2/0/3,11205,79793,38465,Pangu,1/2/5,9577,45128,62625,Taiyi Zhenren,0/1/3,6603,13207,57400,51517,7,5
0,Zhou Yu,0/1/3,10284,46771,41205,Xiang Yu,1/1/1,6784,13736,57091,Baili Shouyue,1/2/0,9101,75420,25593,Yào,2/2/0,11976,48785,74384,Bull Demon,0/1/2,6076,12804,63809,44221,4,3
1,Ma Chao,3/2/4,8032,57454,52940,Pangu,2/1/7,8626,36311,37558,Angela,5/0/6,7641,40960,22512,Pei Qinhu,4/0/10,7528,44728,34070,Toho Taiichi,1/1/10,5410,26693,54352,37237,15,7
0,Liu Bang,0/3/1,4549,22153,60243,Diao Chan,2/2/1,6193,36785,29044,Tachibana Ukyo,1/3/3,5666,21994,36337,Cao Cao,1/2/2,5705,30113,50636,Dun Shan,0/5/0,3318,18539,51884,25431,4,1
1,Li Xin,1/0/7,10615,34457,43474,Tachibana Ukyo,4/0/3,10295,22271,47814,Mai Shiranui,2/2/6,8415,47124,43600,Sun Shangxiang,7/0/6,12864,48893,29188,Taiyi Zhenren,0/2/12,7052,19964,67987,49241,14,8
0,Yào,1/3/2,9063,38720,47521,Yuan Ge,2/1/1,7440,37449,22335,Pangu,1/4/1,6560,24493,44064,Marco Polo,0/1/3,8330,46864,33975,Guiguzi,0/5/2,4295,16470,52132,35688,4,2
1,Yào,1/0/1,11833,70517,52622,Kuangtie,2/0/0,10986,31025,95929,Jiang Ziya,0/0/2,9490,69886,15629,Marco Polo,1/0/2,11219,45332,33300,Su Lie,0/0/3,7218,8261,65676,50746,4,9
0,Lv Bu,0/1/0,7095,22699,84713,Shen Mengxi,0/1/0,7556,71433,24680,Pei Qinhu,0/0/0,8876,16209,34721,Ma Chao,0/1/0,7983,30322,64149,Sun Bin,0/1/0,5200,28369,43883,36710,0,0
1,Shen Mengxi,3/0/5,9834,96349,19951,Pangu,2/0/6,10373,44957,55270,Baili Shouyue,0/1/4,9033,53524,16184,Lv Bu,2/2/4,9586,62448,71499,Lanlingwang,2/1/6,5923,30927,17422,44749,9,6
0,Xiahou Dun,0/1/2,6169,15686,69164,Chang'e,2/3/1,9027,31993,79051,Tachibana Ukyo,2/1/0,8560,21560,52135,Sun Shangxiang,0/1/3,10216,27406,48909,Taiyi Zhenren,0/3/3,5550,8361,67888,39522,4,1
1,Mai Shiranui,4/1/4,9832,66264,33444,Tachibana Ukyo,2/0/5,8559,31965,28645,Gongsun Li,4/0/4,9838,90985,21133,Yào,0/1/4,10408,38151,35192,Dun Shan,0/1/8,5634,10788,29363,44271,10,7
0,Lv Bu,0/1/1,6252,18541,59603,Zhao Yun,3/1/0,7629,15021,48701,Guan Yu,0/2/2,7734,19434,47970,Marco Polo,0/2/3,8000,41253,29837,Su Lie,0/4/3,4244,9439,87722,33859,3,1
1,Liu Bang,2/1/7,10077,26752,69458,Sun Ce,1/2/7,7383,26091,83310,Mozi,1/0/8,9168,59244,50868,Sun Shangxiang,8/1/4,14109,114769,60388,Zhang Fei,0/4/9,6461,21781,120936,47198,12,4
0,Zhu Bajie,1/2/6,8650,35961,92972,Yingzheng,2/1/6,12368,186175,33734,Cao Cao,3/3/2,11894,38390,51828,Pei Qinhu,2/2/5,12747,51723,73298,Taiyi Zhenren,0/4/5,6892,22768,71994,52551,8,6
1,Zhu Bajie,1/1/7,7885,23570,64789,Ma Chao,3/0/5,9895,34911,50411,Mai Shiranui,2/0/6,8548,59571,29558,Tachibana Ukyo,4/0/5,8897,43161,47565,Sun Bin,0/1/10,5744,31012,32593,40969,10,8
