win,ass-mon,ass-out,ass-int,arc-mon,arc-out,arc-int,sup-mon,sup-out,sup-int,tan-mon,tan-out,tan-int,war-mon,war-out,war-int,mag-mon,mag-out,mag-int,position_list,tf,ass-mon-out,ass-mon-int,arc-mon-out,arc-mon-int,sup-mon-out,sup-mon-int,tan-mon-out,tan-mon-int,war-mon-out,war-mon-int,mag-mon-out,mag-mon-int
1,0,0,0,12448,51154,39196,6603,13207,57400,0,0,0,21261,71562,113798,11205,79793,38465,"[0, 1, 1, 0, 2, 1]",True,0,0,636764992,487911808,87205821,379012200,0,0,1521479682,2419459278,894080565,431000325
0,0,0,0,9101,75420,25593,6076,12804,63809,6784,13736,57091,11976,48785,74384,10284,46771,41205,"[0, 1, 1, 1, 1, 1]",False,0,0,686397420,232921893,77797104,387703484,93185024,387305344,584249160,890822784,480992964,423752220
1,7528,44728,34070,0,0,0,5410,26693,54352,0,0,0,16658,93765,90498,7641,40960,22512,"[1, 0, 1, 0, 2, 1]",True,336712384,256478960,0,0,144409130,294044320,0,0,1561937370,1507515684,312975360,172014192
0,5666,21994,36337,0,0,0,3318,18539,51884,4549,22153,60243,5705,30113,50636,6193,36785,29044,"[1, 0, 1, 1, 1, 1]",False,124618004,205885442,0,0,61512402,172151112,100773997,274045407,171794665,288878380,227809505,179869492
1,10295,22271,47814,12864,48893,29188,7052,19964,67987,0,0,0,10615,34457,43474,8415,47124,43600,"[1, 1, 1, 0, 1, 1]",True,229279945,492245130,628959552,375474432,140786128,479444324,0,0,365761055,461476510,396548460,366894000
0,7440,37449,22335,8330,46864,33975,4295,16470,52132,0,0,0,15623,63213,91585,0,0,0,"[1, 1, 1, 0, 2, 0]",False,278620560,166172400,390377120,283011750,70738650,223906940,0,0,987576699,1430832455,0,0
1,0,0,0,11219,45332,33300,9490,69886,15629,7218,8261,65676,22819,101542,148551,0,0,0,"[0, 1, 1, 1, 2, 0]",True,0,0,508579708,373592700,663218140,148319210,59627898,474049368,2317086898,3389785269,0,0
0,8876,16209,34721,0,0,0,5200,28369,43883,7095,22699,84713,7983,30322,64149,7556,71433,24680,"[1, 0, 1, 1, 1, 1]",False,143871084,308183596,0,0,147518800,228191600,161049405,601038735,242060526,512101467,539747748,186482080
1,5923,30927,17422,9033,53524,16184,0,0,0,9586,62448,71499,10373,44957,55270,9834,96349,19951,"[1, 1, 0, 1, 1, 1]",True,183180621,103190506,483482292,146190072,0,0,598626528,685389414,466338961,573315710,947496066,196198134
0,8560,21560,52135,10216,27406,48909,5550,8361,67888,15196,47679,148215,0,0,0,0,0,0,"[1, 1, 1, 2, 0, 0]",False,184553600,446275600,279979696,499654344,46403550,376778400,724530084,2252275140,0,0,0,0
1,8559,31965,28645,9838,90985,21133,5634,10788,29363,0,0,0,10408,38151,35192,9832,66264,33444,"[1, 1, 1, 0, 1, 1]",True,273588435,245172555,895110430,207906454,60779592,165431142,0,0,397075608,366278336,651507648,328821408
0,0,0,0,8000,41253,29837,0,0,0,10496,27980,147325,15363,34455,96671,0,0,0,"[0, 1, 0, 2, 2, 0]",False,0,0,330024000,238696000,0,0,293678080,1546323200,529332165,1485156573,0,0
1,0,0,0,14109,114769,60388,6461,21781,120936,10077,26752,69458,7383,26091,83310,9168,59244,50868,"[0, 1, 1, 1, 1, 1]",True,0,0,1619275821,852014292,140727041,781367496,269579904,699928266,192629853,615077730,543148992,466357824
0,12747,51723,73298,0,0,0,6892,22768,71994,8650,35961,92972,11894,38390,51828,12368,186175,33734,"[1, 0, 1, 1, 1, 1]",False,659313081,934329606,0,0,156917056,496182648,311062650,804207800,456610660,616442232,2302612400,417222112
1,8897,43161,47565,0,0,0,5744,31012,32593,7885,23570,64789,9895,34911,50411,8548,59571,29558,"[1, 0, 1, 1, 1, 1]",True,384003417,423185805,0,0,178132928,187214192,185849450,510861265,345444345,498816845,509212908,252661784
0,0,0,0,6968,48467,29247,4076,15865,59405,4999,24501,59275,6476,14682,42131,6909,42399,30882,"[0, 1, 1, 1, 1, 1]",False,0,0,337718056,203793096,64665740,242134780,122480499,296315725,95080632,272840356,292934691,213363738
1,11619,67062,91564,0,0,0,0,0,0,17403,80150,230114,12079,49716,93549,11281,83688,30625,"[1, 0, 0, 2, 1, 1]",True,779193378,1063882116,0,0,0,0,1394850450,4004673942,600519564,1129978371,944084328,345480625
0,0,0,0,11875,107191,45135,6567,57871,54477,7566,45789,110330,11624,73068,69793,10372,68677,60484,"[0, 1, 1, 1, 1, 1]",False,0,0,1272893125,535978125,380038857,357750459,346439574,834756780,849342432,811273832,712317844,627340048
1,11197,54208,65857,11101,75890,37889,7080,24798,100986,0,0,0,10889,48757,67206,11227,129577,27802,"[1, 1, 1, 0, 1, 1]",True,606966976,737400829,842454890,420605789,175569840,714980880,0,0,530914973,731806134,1454760979,312133054
0,0,0,0,10036,88206,46350,0,0,0,11374,47343,207049,10267,42991,65492,9590,47829,48672,"[0, 1, 0, 2, 1, 1]",False,0,0,885235416,465168600,0,0,538479282,2354975326,441388597,672406364,458680110,466764480
1,0,0,0,14996,126100,81226,10070,27438,49153,11947,54353,126791,13581,90262,162251,14033,90777,50756,"[0, 1, 1, 1, 1, 1]",True,0,0,1890995600,1218065096,276300660,494970710,649355291,1514772077,1225848222,2203530831,1273873641,712258948
0,12134,76757,104503,12808,82987,65970,7096,14087,119204,0,0,0,13002,66671,92106,12171,120879,56156,"[1, 1, 1, 0, 1, 1]",False,931369438,1268039402,1062897496,844943760,99961352,845871584,0,0,866856342,1197562212,1471218309,683474676
1,0,0,0,10636,48097,28315,15838,73009,61016,7098,25732,72781,9754,49945,55038,0,0,0,"[0, 1, 2, 1, 1, 0]",True,0,0,511559692,301158340,1156316542,966371408,182645736,516599538,487163530,536840652,0,0
0,6904,33256,41522,0,0,0,4345,8451,54338,0,0,0,13789,52657,115117,7853,57473,22391,"[1, 0, 1, 0, 2, 1]",False,229599424,286667888,0,0,36719595,236098610,0,0,726087373,1587348313,451335469,175836523
0,0,0,0,11311,80523,66434,7088,52170,70500,9563,61866,158726,9751,34860,92682,12278,95683,57715,"[0, 1, 1, 1, 1, 1]",False,0,0,910795653,751434974,369780960,499704000,591624558,1517896738,339919860,903742182,1174795874,708624770
1,13217,76436,92389,0,0,0,0,0,0,18606,123869,189075,11633,59399,79951,11728,135431,64643,"[1, 0, 0, 2, 1, 1]",True,1010254612,1221105413,0,0,0,0,2304706614,3517929450,690988567,930069983,1588334768,758133104
0,0,0,0,18137,105251,42526,0,0,0,19024,76307,224173,14946,46490,110360,14091,49224,61684,"[0, 1, 0, 2, 1, 1]",False,0,0,1908937387,771294062,0,0,1451664368,4264667152,694839540,1649440560,693615384,869189244
