,Hero 1,Hero 2,Winning rate,# of rounds,# of winning rounds ▽
108,Taiyi Zhenren,Sun Shangxiang,0.4823529411764706,340,164.0
2210,Di Renjie,Master Luban,0.7857142857142857,182,143.0
1,Marco Polo,Zhang Fei,0.49818181818181817,275,137.0
14,Marco Polo,Zhao Yun,0.511520737327189,217,111.0
3,Marco Polo,Lv Bu,0.6077348066298343,181,110.0
405,Lv Bu,Zhang Liang,0.7785714285714286,140,109.0
398,Lv Bu,Naklulu,0.5431472081218274,197,106.99999999999999
397,Lv Bu,Pei Qinhu,0.47058823529411764,221,104.0
10,Marco Polo,Shen Mengxi,0.5,206,103.0
5,Marco Polo,Zhu Bajie,0.6387096774193548,155,99.0
17,Marco Polo,Sun Bin,0.708029197080292,137,97.0
0,Marco Polo,Taiyi Zhenren,0.5428571428571428,175,94.99999999999999
201,Zhang Fei,Guan Yu,0.5670731707317073,164,92.99999999999999
407,Lv Bu,Sun Bin,0.6258503401360545,147,92.0
332,Gongsun Li,Daqiao,0.5894039735099338,151,89.0
206,Zhang Fei,Sun Shangxiang,0.577922077922078,154,89.0
399,Lv Bu,Sun Shangxiang,0.5714285714285714,154,88.0
1398,Zhao Yun,Mai Shiranui,0.7478260869565218,115,86.0
411,Lv Bu,Jing,0.8333333333333334,102,85.0
492,Guan Yu,Pei Qinhu,0.6640625,128,85.0
1485,Zhang Liang,Jing,0.6829268292682927,123,84.0
203,Zhang Fei,Tachibana Ukyo,0.46368715083798884,179,83.0
16,Marco Polo,Su Lie,0.4823529411764706,170,82.0
496,Guan Yu,Dun Shan,0.5161290322580645,155,80.0
774,Pei Qinhu,Shen Mengxi,0.5755395683453237,139,80.0
1053,Shen Mengxi,Ma Chao,0.7207207207207207,111,80.0
103,Taiyi Zhenren,Guan Yu,0.5633802816901409,142,80.0
1223,Lian Po,Zhao Yun,0.47305389221556887,167,79.0
4,Marco Polo,Guan Yu,0.49375,160,79.0
104,Taiyi Zhenren,Zhu Bajie,0.5337837837837838,148,79.0
960,Sun Shangxiang,Zhang Liang,0.6190476190476191,126,78.0
868,Naklulu,Jiang Ziya,0.6129032258064516,124,76.0
107,Taiyi Zhenren,Naklulu,0.5357142857142857,140,75.0
783,Pei Qinhu,Ma Chao,0.6578947368421053,114,75.0
408,Lv Bu,Mai Shiranui,0.5692307692307692,130,74.0
199,Zhang Fei,Gongsun Li,0.46540880503144655,159,74.0
15,Marco Polo,Zhang Liang,0.6607142857142857,112,74.0
689,Tachibana Ukyo,Sun Bin,0.5251798561151079,139,73.0
317,Gongsun Li,Bai Qi,0.6576576576576577,111,73.0
210,Zhang Fei,Jiang Ziya,0.6239316239316239,117,73.0
596,Zhu Bajie,Sun Bin,0.5259259259259259,135,71.0
865,Naklulu,Shen Mengxi,0.6228070175438597,114,71.0
1316,Jiang Ziya,Jing,0.7291666666666666,96,70.0
12,Marco Polo,Lian Po,0.39106145251396646,179,70.0
299,Gongsun Li,Zhu Bajie,0.4861111111111111,144,70.0
6,Marco Polo,Tachibana Ukyo,0.49645390070921985,141,70.0
1222,Lian Po,Jiang Ziya,0.5267175572519084,131,69.0
18,Marco Polo,Mai Shiranui,0.6699029126213593,103,69.0
113,Taiyi Zhenren,Zhao Yun,0.6330275229357798,109,69.0
589,Zhu Bajie,Shen Mengxi,0.5348837209302325,129,69.0
594,Zhu Bajie,Zhang Liang,0.6216216216216216,111,69.0
404,Lv Bu,Zhao Yun,0.7472527472527473,91,68.0
204,Zhang Fei,Pei Qinhu,0.7613636363636364,88,67.0
1309,Jiang Ziya,Zhao Yun,0.5,134,67.0
691,Tachibana Ukyo,Ma Chao,0.5114503816793893,131,67.0
590,Zhu Bajie,Dun Shan,0.6442307692307693,104,67.0
1397,Zhao Yun,Sun Bin,0.6875,96,66.0
414,Lv Bu,Di Renjie,0.7764705882352941,85,66.0
109,Taiyi Zhenren,Shen Mengxi,0.5546218487394958,119,66.0
779,Pei Qinhu,Zhang Liang,0.7252747252747253,91,66.0
1481,Zhang Liang,Sun Bin,0.9705882352941176,68,66.0
1224,Lian Po,Zhang Liang,0.7303370786516854,89,65.0
403,Lv Bu,Jiang Ziya,0.8024691358024691,81,65.0
321,Gongsun Li,Hua Mulan,0.5855855855855856,111,65.0
101,Taiyi Zhenren,Gongsun Li,0.5284552845528455,123,65.0
304,Gongsun Li,Shen Mengxi,0.5327868852459017,122,65.0
298,Gongsun Li,Guan Yu,0.46099290780141844,141,65.0
13,Marco Polo,Jiang Ziya,0.5652173913043478,115,65.0
11,Marco Polo,Dun Shan,0.5158730158730159,126,65.0
966,Sun Shangxiang,Jing,0.5818181818181818,110,64.0
425,Lv Bu,Master Luban,0.9411764705882353,68,64.0
491,Guan Yu,Tachibana Ukyo,0.5981308411214953,107,63.99999999999999
1136,Dun Shan,Zhao Yun,0.5,126,63.0
586,Zhu Bajie,Pei Qinhu,0.48091603053435117,131,63.0
211,Zhang Fei,Zhao Yun,0.62,100,62.0
970,Sun Shangxiang,Pangu,0.6526315789473685,95,62.0
20,Marco Polo,Laofuzi,0.49206349206349204,126,62.0
306,Gongsun Li,Lian Po,0.5040650406504065,123,61.99999999999999
230,Zhang Fei,Meng Ya,0.4728682170542636,129,61.0
494,Guan Yu,Sun Shangxiang,0.6853932584269663,89,61.0
102,Taiyi Zhenren,Lv Bu,0.5126050420168067,119,60.99999999999999
956,Sun Shangxiang,Dun Shan,0.7317073170731707,82,60.0
114,Taiyi Zhenren,Zhang Liang,0.6185567010309279,97,60.0
216,Zhang Fei,Ma Chao,0.5784313725490197,102,59.00000000000001
305,Gongsun Li,Dun Shan,0.5175438596491229,114,59.00000000000001
500,Guan Yu,Zhang Liang,0.6145833333333334,96,59.0
499,Guan Yu,Zhao Yun,0.48760330578512395,121,59.0
207,Zhang Fei,Shen Mengxi,0.3277777777777778,180,59.0
124,Taiyi Zhenren,Pangu,0.5471698113207547,106,58.0
775,Pei Qinhu,Dun Shan,0.5480769230769231,104,57.00000000000001
