,Marco Polo,Taiyi Zhenren,Zhang Fei,Gongsun Li,Lv Bu,Guan Yu,Zhu Bajie,Tachibana Ukyo,Pei Qinhu,Naklulu,Sun Shangxiang,Shen Mengxi,Dun Shan,Lian Po,Jiang Ziya,Zhao Yun,Zhang Liang,Su Lie,Sun Bin,Mai Shiranui,Ma Chao,Laofuzi,Jing,Bull Demon,Bai Qi,Di Renjie,Pangu,Wang Zhaojun,Hua Mulan,Lanlingwang,Liu Bang,Zhou Yu,Xiahou Dun,Guiguzi,Meng Ya,Yu Ji,Master Luban,Xiang Yu,Ganjiang Moye,Daqiao,Xishi,Yào,Shangguan Wan'er,Cao Cao,Yang Yuhuan,Li Yuanfang,Meng Tian,Yang Jian,Diao Chan,Kuangtie,Agudo,Yingzheng,Sun Ce,Yuan Ge,Baili Shouyue,Chang'e,Da Mo,Cheng Yaojin,Zhuang Zhou,Galo,Luna,Mozi,Cai Wenji,Toho Taiichi,Kai,Li Xin,Wu Zetian,Dian Wei,Houyi,Baili Xuance,Genghis Khan,Nezha,Zhuge Liang,Bian Que,Xiaoqiao,Huang Zhong,Yáo,Angela,Miyue,Yunzhongjun,Mengqi,Yixing,Sima Yi,Li Bai,Han Xin,Athena,Luban 7,Monkey King,Ming Shiyin,Charlotte,Liu Shan,Miyamoto Musashi,Zhong Wuyan,Ake,Nvwa,Liu Bei,Zhong Kui,Gao Jianli,Miledy,Zhen Ji,Daji
Marco Polo,0.5185746777862017,0.5428571428571428,0.49818181818181817,0.0,0.6077348066298343,0.49375,0.6387096774193548,0.49645390070921985,0.575,0.6714285714285714,-1.0,0.5,0.5158730158730159,0.39106145251396646,0.5652173913043478,0.511520737327189,0.6607142857142857,0.4823529411764706,0.708029197080292,0.6699029126213593,0.5625,0.49206349206349204,0.5913978494623656,0.3416666666666667,0.5789473684210527,-1.0,0.4375,0.6266666666666667,0.42,0.5154639175257731,0.38596491228070173,0.44642857142857145,0.425531914893617,0.7323943661971831,-1.0,0.0,1.0,0.43243243243243246,0.4823529411764706,0.68,0.3137254901960784,0.5102040816326531,0.35555555555555557,0.627906976744186,0.6417910447761194,-1.0,0.5238095238095238,0.5242718446601942,0.5102040816326531,0.5614035087719298,0.6190476190476191,0.4098360655737705,0.4745762711864407,0.47619047619047616,0.6923076923076923,0.5555555555555556,0.5882352941176471,0.46,0.5135135135135135,-1.0,0.5294117647058824,0.30303030303030304,0.6521739130434783,0.5454545454545454,0.45,0.32,0.2727272727272727,0.46808510638297873,-1.0,0.0,-1.0,0.5,0.5833333333333334,0.5238095238095238,0.4583333333333333,-1.0,0.42857142857142855,0.6,0.16666666666666666,0.3,0.9090909090909091,0.4666666666666667,0.5714285714285714,1.0,0.8888888888888888,-1.0,-1.0,-1.0,0.0,-1.0,0.0,0.4,1.0,-1.0,-1.0,-1.0,-1.0,0.875,0.5,0.0,-1.0
Taiyi Zhenren,0.5428571428571428,0.48641304347826086,0.2857142857142857,0.5284552845528455,0.5126050420168067,0.5633802816901409,0.5337837837837838,0.37748344370860926,0.39622641509433965,0.5357142857142857,0.4823529411764706,0.5546218487394958,0.5454545454545454,0.4583333333333333,0.384,0.6330275229357798,0.6185567010309279,0.375,-1.0,0.3584905660377358,0.3050847457627119,0.45871559633027525,0.46511627906976744,-1.0,0.5392156862745098,0.48333333333333334,0.5471698113207547,0.2,0.5084745762711864,0.3333333333333333,0.6,0.5208333333333334,0.35714285714285715,-1.0,0.8292682926829268,0.3548387096774194,-1.0,0.5945945945945946,0.6326530612244898,0.75,0.2894736842105263,0.4489795918367347,0.375,0.5106382978723404,0.475,0.3783783783783784,0.5111111111111111,0.5208333333333334,0.6486486486486487,0.3076923076923077,0.7435897435897436,0.4444444444444444,0.2608695652173913,0.4827586206896552,0.574468085106383,0.75,0.6666666666666666,0.39473684210526316,0.3333333333333333,0.5714285714285714,0.7058823529411765,0.975609756097561,-1.0,-1.0,0.6086956521739131,0.3793103448275862,0.5789473684210527,0.23529411764705882,0.85,0.27586206896551724,0.4444444444444444,0.41379310344827586,0.2903225806451613,0.45454545454545453,0.38461538461538464,0.10810810810810811,-1.0,0.6666666666666666,0.8,0.5714285714285714,0.45454545454545453,1.0,0.0,0.25,1.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,0.3333333333333333,0.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,0.3333333333333333,-1.0
Zhang Fei,0.49818181818181817,0.2857142857142857,0.5050412465627865,0.46540880503144655,0.4479166666666667,0.5670731707317073,0.4380165289256198,0.46368715083798884,0.7613636363636364,0.3854166666666667,0.577922077922078,0.3277777777777778,0.5,0.23880597014925373,0.6239316239316239,0.62,0.5529411764705883,0.5,0.8571428571428571,0.4883720930232558,0.5784313725490197,0.6162790697674418,0.425531914893617,0.5,0.5454545454545454,0.34782608695652173,0.475,0.5769230769230769,0.5061728395061729,0.5434782608695652,0.4,0.30120481927710846,0.25925925925925924,0.7777777777777778,0.4728682170542636,0.546875,-1.0,0.7058823529411765,0.48484848484848486,1.0,0.6666666666666666,0.46808510638297873,0.6428571428571429,0.6666666666666666,0.7037037037037037,0.4838709677419355,0.625,0.6486486486486487,0.4444444444444444,0.6,0.22950819672131148,0.4722222222222222,0.7446808510638298,0.5,0.47058823529411764,0.782608695652174,0.6458333333333334,0.44,0.2,0.7272727272727273,0.6956521739130435,0.9333333333333333,-1.0,-1.0,0.5,0.2702702702702703,0.3333333333333333,0.35714285714285715,0.8181818181818182,0.625,0.3333333333333333,0.11764705882352941,0.7727272727272727,0.34615384615384615,0.75,0.3333333333333333,-1.0,0.0,0.5,0.5714285714285714,0.8888888888888888,0.3333333333333333,0.0,0.6666666666666666,-1.0,0.0,1.0,1.0,-1.0,0.0,-1.0,0.0,0.5,1.0,-1.0,0.3333333333333333,1.0,0.5,0.5,-1.0,-1.0
Gongsun Li,0.0,0.5284552845528455,0.46540880503144655,0.47058823529411764,0.4479166666666667,0.46099290780141844,0.4861111111111111,0.3333333333333333,0.5909090909090909,0.6052631578947368,-1.0,0.5327868852459017,0.5175438596491229,0.5040650406504065,0.5094339622641509,0.44642857142857145,0.43478260869565216,0.375,0.5205479452054794,0.3409090909090909,0.45714285714285713,0.40540540540540543,0.38461538461538464,0.3739130434782609,0.6576576576576577,-1.0,0.532258064516129,0.4375,0.5855855855855856,0.32967032967032966,0.21428571428571427,0.35064935064935066,0.31645569620253167,0.54,-1.0,-1.0,0.6,0.4050632911392405,0.4264705882352941,0.5894039735099338,0.5757575757575758,0.576271186440678,0.3387096774193548,0.225,0.5764705882352941,-1.0,0.5180722891566265,0.47368421052631576,0.5789473684210527,0.46153846153846156,0.0,0.3333333333333333,0.4482758620689655,0.38333333333333336,0.7368421052631579,0.64,0.5405405405405406,0.4838709677419355,0.6176470588235294,0.3333333333333333,0.75,0.9523809523809523,0.5961538461538461,0.0625,0.5416666666666666,0.25,0.6956521739130435,0.5,-1.0,0.0,-1.0,0.25,0.2,0.25,0.15384615384615385,-1.0,0.36585365853658536,0.391304347826087,1.0,1.0,0.25,0.0,-1.0,-1.0,-1.0,0.16666666666666666,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,0.75,-1.0
Lv Bu,0.6077348066298343,0.5126050420168067,0.4479166666666667,0.4479166666666667,0.532258064516129,0.35294117647058826,0.25,0.47413793103448276,0.47058823529411764,0.5431472081218274,0.5714285714285714,0.41353383458646614,0.47619047619047616,0.48148148148148145,0.8024691358024691,0.7472527472527473,0.7785714285714286,0.4807692307692308,0.6258503401360545,0.5692307692307692,0.8208955223880597,0.509090909090909,0.8333333333333334,0.42391304347826086,0.5,0.7764705882352941,0.5581395348837209,0.16666666666666666,0.3,0.42,0.34285714285714286,0.40540540540540543,0.3157894736842105,0.6833333333333333,0.27419354838709675,0.5609756097560976,0.9411764705882353,0.0,0.6,0.5675675675675675,0.4583333333333333,0.3333333333333333,0.4482758620689655,0.3023255813953488,0.5555555555555556,0.8,-1.0,0.5263157894736842,0.47619047619047616,0.2222222222222222,0.0,0.3333333333333333,0.3333333333333333,0.48148148148148145,0.47058823529411764,0.46511627906976744,0.46153846153846156,0.2608695652173913,0.5384615384615384,0.8,0.5217391304347826,0.5517241379310345,0.5151515151515151,0.5172413793103449,0.15384615384615385,0.5333333333333333,0.25,0.25,1.0,0.23529411764705882,0.6666666666666666,-1.0,0.25,0.3157894736842105,0.5,1.0,0.25925925925925924,0.0,0.18181818181818182,0.5,-1.0,0.8333333333333334,0.0,0.7142857142857143,0.5714285714285714,0.1875,0.0,0.7142857142857143,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,0.8,-1.0,0.0,-1.0
Guan Yu,0.49375,0.5633802816901409,0.5670731707317073,0.46099290780141844,0.35294117647058826,0.5361256544502618,0.3582089552238806,0.5981308411214953,0.6640625,0.47959183673469385,0.6853932584269663,0.42857142857142855,0.5161290322580645,0.6190476190476191,0.4864864864864865,0.48760330578512395,0.6145833333333334,0.44545454545454544,0.5833333333333334,0.6530612244897959,0.25,0.7666666666666667,0.4482758620689655,0.48598130841121495,0.639344262295082,0.5131578947368421,0.6309523809523809,0.5882352941176471,0.375,0.3225806451612903,0.5714285714285714,0.5555555555555556,0.4166666666666667,0.49056603773584906,0.6326530612244898,0.5614035087719298,0.7647058823529411,0.5675675675675675,0.5671641791044776,0.4,0.7428571428571429,0.375,0.3333333333333333,0.6,0.6136363636363636,0.43478260869565216,0.0,0.5454545454545454,0.6666666666666666,0.09090909090909091,0.42105263157894735,0.29411764705882354,0.4117647058823529,0.6571428571428571,0.8064516129032258,0.7777777777777778,0.6818181818181818,0.6,0.5263157894736842,0.7142857142857143,1.0,0.36363636363636365,0.6666666666666666,0.75,-1.0,0.0,0.3157894736842105,0.5,1.0,0.3157894736842105,0.5,-1.0,0.5357142857142857,0.38461538461538464,0.4666666666666667,0.25,-1.0,0.5,0.0,0.3333333333333333,0.625,0.0,0.4,0.75,0.8,0.8571428571428571,-1.0,0.4,1.0,-1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,-1.0,1.0,-1.0
Zhu Bajie,0.6387096774193548,0.5337837837837838,0.4380165289256198,0.4861111111111111,0.25,0.3582089552238806,0.5005675368898979,0.4423076923076923,0.48091603053435117,0.3157894736842105,0.5454545454545454,0.5348837209302325,0.6442307692307693,0.38095238095238093,0.4266666666666667,0.4854368932038835,0.6216216216216216,0.16666666666666666,0.5259259259259259,0.3333333333333333,0.6727272727272727,0.5714285714285714,0.627906976744186,0.36507936507936506,-1.0,0.3684210526315789,0.45652173913043476,0.44776119402985076,0.6666666666666666,0.6,0.08571428571428572,0.42,1.0,0.4444444444444444,0.6065573770491803,0.35714285714285715,0.7333333333333333,-1.0,0.3829787234042553,0.6610169491525424,0.5555555555555556,0.41304347826086957,0.49295774647887325,0.43902439024390244,0.4444444444444444,0.6578947368421053,0.7272727272727273,1.0,0.7727272727272727,0.6666666666666666,0.7857142857142857,0.3103448275862069,0.4166666666666667,0.875,0.2558139534883721,0.7241379310344828,0.0,0.6666666666666666,0.4166666666666667,0.20588235294117646,0.7058823529411765,0.9545454545454546,0.9210526315789473,0.25,0.48484848484848486,0.5882352941176471,0.16666666666666666,0.0,1.0,0.55,0.6296296296296297,0.0,0.8,0.2222222222222222,0.6666666666666666,0.08,0.5,0.6363636363636364,1.0,0.5454545454545454,0.0,0.09090909090909091,0.875,0.0,-1.0,0.0,0.0,-1.0,0.2222222222222222,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.5,0.0,1.0,-1.0,-1.0
Tachibana Ukyo,0.49645390070921985,0.37748344370860926,0.46368715083798884,0.3333333333333333,0.47413793103448276,0.5981308411214953,0.4423076923076923,0.4616265750286369,0.5333333333333333,0.6666666666666666,0.325,0.3382352941176471,0.5897435897435898,0.3258426966292135,0.4819277108433735,1.0,0.37398373983739835,0.5,0.5251798561151079,0.36619718309859156,0.5114503816793893,0.515625,-1.0,0.6538461538461539,0.6417910447761194,0.41739130434782606,1.0,0.5189873417721519,0.8,0.3333333333333333,0.21428571428571427,0.4146341463414634,0.20930232558139536,0.4,0.6875,0.6379310344827587,0.5972222222222222,0.3888888888888889,0.34615384615384615,0.625,0.75,0.44,0.5116279069767442,0.46875,0.625,0.5263157894736842,0.2857142857142857,0.7777777777777778,0.6944444444444444,0.6176470588235294,-1.0,0.5769230769230769,0.5714285714285714,0.5,0.2857142857142857,0.45098039215686275,0.6666666666666666,0.1875,0.9090909090909091,0.46153846153846156,0.25,0.4,0.25,0.25,0.3684210526315789,0.43478260869565216,0.3333333333333333,-1.0,0.5,0.2,0.2727272727272727,0.48,0.5,0.8333333333333334,0.8888888888888888,0.0,0.0,0.3333333333333333,0.2857142857142857,1.0,0.5,0.5,0.0,1.0,-1.0,0.0,0.0,0.5,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,-1.0,0.0
Pei Qinhu,0.575,0.39622641509433965,0.7613636363636364,0.5909090909090909,0.47058823529411764,0.6640625,0.48091603053435117,0.5333333333333333,0.5339578454332553,-1.0,0.5625,0.5755395683453237,0.5480769230769231,0.43956043956043955,0.6086956521739131,-1.0,0.7252747252747253,0.47706422018348627,0.4777777777777778,0.5306122448979592,0.6578947368421053,0.5154639175257731,-1.0,0.5353535353535354,0.5,0.4,0.625,0.11864406779661017,0.6166666666666667,0.3333333333333333,0.4,0.4146341463414634,0.5915492957746479,0.5254237288135594,0.1111111111111111,0.9,0.8947368421052632,0.4838709677419355,0.6129032258064516,0.6851851851851852,0.7407407407407407,0.38461538461538464,0.40816326530612246,0.4375,0.6938775510204082,0.5454545454545454,1.0,0.46153846153846156,0.5283018867924528,0.4594594594594595,-1.0,0.25806451612903225,0.625,0.6956521739130435,0.25,0.46153846153846156,0.6363636363636364,0.6111111111111112,0.5454545454545454,0.5384615384615384,0.6153846153846154,0.3333333333333333,0.7692307692307693,0.7317073170731707,0.13043478260869565,0.6,0.42857142857142855,0.3888888888888889,0.5238095238095238,-1.0,0.5,0.6666666666666666,0.4117647058823529,0.36363636363636365,0.5833333333333334,1.0,0.0,0.8888888888888888,0.35714285714285715,-1.0,0.5,1.0,0.4,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0
Naklulu,0.6714285714285714,0.5357142857142857,0.3854166666666667,0.6052631578947368,0.5431472081218274,0.47959183673469385,0.3157894736842105,0.6666666666666666,-1.0,0.4854721549636804,0.5789473684210527,0.6228070175438597,0.5185185185185185,0.6829268292682927,0.6129032258064516,1.0,0.5227272727272727,0.3627450980392157,0.3728813559322034,0.23809523809523808,0.6875,0.5517241379310345,-1.0,0.2727272727272727,0.7166666666666667,0.7586206896551724,0.5714285714285714,0.4074074074074074,0.6415094339622641,0.2,0.42857142857142855,0.27631578947368424,0.27586206896551724,0.4,0.10144927536231885,0.4,0.7,0.3939393939393939,0.5789473684210527,0.7,0.2926829268292683,0.4,0.7777777777777778,0.5333333333333333,0.45,0.75,0.13636363636363635,0.16666666666666666,1.0,0.24324324324324326,-1.0,0.0,0.42857142857142855,0.6666666666666666,0.6470588235294118,1.0,0.6774193548387096,0.5862068965517241,0.4838709677419355,0.16,0.0,0.8,0.6666666666666666,0.4,0.5263157894736842,0.3181818181818182,0.7058823529411765,0.35714285714285715,0.5555555555555556,-1.0,0.5625,1.0,0.7142857142857143,0.75,0.14285714285714285,0.0,1.0,0.0,0.08333333333333333,-1.0,0.5,-1.0,0.16666666666666666,-1.0,-1.0,0.9090909090909091,-1.0,-1.0,0.47619047619047616,-1.0,0.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
